30 graphs in nwdGraphs30.txt

** G1: |V|=15, V={0,1,...14}
(u, v, weight) E = { 
      (65, 40, 76.142)
      (66, 16, 86.241)
      (67, 70, 78.640)
      (67, 75, 75.352)
      (68, 23, 27.770)
      (69, 25, 88.520)
      (69, 47, 92.149)
      (69, 71, 62.222)
      (70, 35,  3.945)
      (70, 74, 78.233)
      (70, 82, 65.989)
      (72, 17, 48.745)
      (72, 81, 57.385)
      (73, 12, 56.232)
      (73, 47, 75.003)
      (73, 81, 51.587)
      (74, 53, 54.198)
      (74, 58, 52.377)
      (74, 64, 89.915)
      (74, 71, 75.809)
      (76,  7, 18.546)
      (76, 41, 51.167)
      (76, 72, 11.411)
      (77, 74, 43.616)
      (78, 20, 70.516)
      (79,  7, 23.015)
      (79, 29, 54.347)
      (79, 71, 41.514)
      (79, 72, 79.899)
      (80, 81, 32.246)
      (81, 55, 38.145)
      (81, 68, 93.708)
      (83, 17, 91.060)
      (83, 63, 58.678)
      (84, 50, 43.276) }
------------------------- 

** G30: |V|=85, V={0,1,...84}
(u, v, weight) E = { 
      ( 0,  5, 29.769)
      ( 2,  8,  3.082)
      ( 2, 71, 24.277)
      ( 3, 58, -18.759)
      ( 3, 83, 19.720)
      ( 4, 80, 65.087)
      ( 5,  6, 33.175)
      ( 5, 52, 18.257)
      ( 5, 77, 66.916)
      ( 6,  5,  6.002)
      ( 6, 62, 68.052)
      ( 7, 21, 11.625)
      ( 7, 64, 62.113)
      ( 7, 70,  1.783)
      ( 7, 83, 77.416)
      ( 7, 84, 17.592)
      ( 8, 64, 32.250)
      ( 8, 82, 50.745)
      (10,  7, 85.570)
      (10, 71, 29.946)
      (11, 45, 32.496)
      (12, 44,  5.345)
      (13, 19, 84.159)
      (13, 33, 18.290)
      (15,  6, 40.761)
      (15,  9, 50.554)
      (15, 23, 85.727)
      (15, 52,  3.545)
      (17, 36, 27.390)
      (17, 44, 35.447)
      (20,  3, 92.905)
      (22, 47, 33.155)
      (22, 59, 93.771)
      (23, 12, 57.867)
      (23, 14, 52.647)
      (23, 56,  9.354)
      (24,  1, 95.565)
      (24, 21, 28.302)
      (24, 45,  9.164)
      (25, 13, 31.325)
      (25, 19, 72.794)
      (25, 27,  8.587)
      (28,  5, 36.827)
      (28, 55, 33.566)
      (29, 73, 21.982)
      (30, 21,  0.612)
      (30, 60, -24.872)
      (30, 63, 12.179)
      (31, 79, 37.451)
      (32, 54, 32.588)
      (32, 76, 37.638)
      (34,  6,  0.401)
      (36, 72, 85.268)
      (37, 47, 18.124)
      (37, 76, 87.861)
      (38, 10, 47.005)
      (38, 35, 40.563)
      (38, 57,  2.088)
      (38, 62, 19.328)
      (38, 68, 75.314)
      (39, 71, 66.953)
      (40,  3, 90.178)
      (40, 20, 55.043)
      (40, 72, 59.300)
      (41, 52, 42.883)
      (43, 50,  5.088)
      (43, 80, 19.171)
      (44, 18, 64.672)
      (44, 67, 35.519)
      (45, 29,  3.097)
      (45, 53, 89.347)
      (46, 29, 97.695)
      (46, 51, 79.115)
      (47, 57, 43.728)
      (48, 15, 94.893)
      (48, 19, 55.203)
      (48, 60, 12.042)
      (49, 55, 70.159)
      (50, 61, 30.272)
      (50, 64, 39.140)
      (51, 19, 58.642)
      (51, 30, 69.264)
      (52, 73,  9.485)
      (52, 83, 31.419)
      (53, 56, 94.049)
      (53, 58, 80.002)
      (54,  0, 35.668)
      (54, 22, 77.488)
      (54, 47, 32.822)
      (54, 74, 17.314)
      (54, 77, 61.407)
      (56, 49, 11.819)
      (57, 17, 73.720)
      (58, 14, 60.245)
      (58, 30, 79.872)
      (59, 33, 25.829)
      (59, 35, 38.317)
      (59, 55, 72.738)
      (59, 77, 45.318)
      (60, 12, 52.683)
      (60, 38,  6.741)
      (60, 72,  9.643)
      (62,  0, 55.109)
      (62, 40, 49.603)
      (62, 75, 32.731)
      (63,  4, 78.259)
      (63, 78, 71.894)
      (64, 34, 26.341)
      (65,  3, 50.551)
      (65, 16, 65.783)
      (65, 36, 22.633)
      (65, 62, 75.271)
      (66,  9, 12.580)
      (66, 25, 89.921)
      (66, 82, 36.901)
      (69, 16,  7.468)
      (69, 31, 61.464)
      (70, 58, 93.124)
      (71, 59, 88.990)
      (72, 22, 98.076)
      (73,  2, 40.932)
      (73, 37, 45.297)
      (73, 62, 49.133)
      (74, 42, 33.405)
      (75, 36, 51.134)
      (75, 57, 16.643)
      (76, 56, 90.517)
      (77, 16, 93.059)
      (79, 15, 58.566)
      (79, 80, 60.945)
      (80,  4, 53.539)
      (80, 46, 81.663)
      (80, 57,  1.334)
      (80, 83, 44.956)
      (81, 34, 84.151)
      (82, 36,  8.738)
      (82, 43, 17.320)
      (82, 65,  8.222)
      (83,  3, 68.962)
      (84, 13, 76.595)
      (84, 41, 34.941)
      (84, 53,  6.337) }
------------------------- 

